original_config_id,config_id,old_directory,directory
O-FAPI3_parity_29,O-FAPI3_parity_29__cage_rattle__sev-0.9,O-FAPI3/O-FAPI3_parity_29,O-FAPI3/O-FAPI3_parity_29__cage_rattle__sev-0.9
O-FAPI3_parity_30,O-FAPI3_parity_30__cage_rattle__sev-1.0,O-FAPI3/O-FAPI3_parity_30,O-FAPI3/O-FAPI3_parity_30__cage_rattle__sev-1.0
O-FAPI3_parity_31,O-FAPI3_parity_31__fa_rotation_cage_rattle__sev-0.1,O-FAPI3/O-FAPI3_parity_31,O-FAPI3/O-FAPI3_parity_31__fa_rotation_cage_rattle__sev-0.1
O-FAPI3_parity_32,O-FAPI3_parity_32__fa_rotation_cage_rattle__sev-0.2,O-FAPI3/O-FAPI3_parity_32,O-FAPI3/O-FAPI3_parity_32__fa_rotation_cage_rattle__sev-0.2
O-FAPI3_parity_33,O-FAPI3_parity_33__fa_rotation_cage_rattle__sev-0.3,O-FAPI3/O-FAPI3_parity_33,O-FAPI3/O-FAPI3_parity_33__fa_rotation_cage_rattle__sev-0.3
O-FAPI3_parity_34,O-FAPI3_parity_34__fa_rotation_cage_rattle__sev-0.4,O-FAPI3/O-FAPI3_parity_34,O-FAPI3/O-FAPI3_parity_34__fa_rotation_cage_rattle__sev-0.4
O-FAPI3_parity_35,O-FAPI3_parity_35__fa_rotation_cage_rattle__sev-0.5,O-FAPI3/O-FAPI3_parity_35,O-FAPI3/O-FAPI3_parity_35__fa_rotation_cage_rattle__sev-0.5
O-FAPI3_parity_36,O-FAPI3_parity_36__fa_rotation_cage_rattle__sev-0.6,O-FAPI3/O-FAPI3_parity_36,O-FAPI3/O-FAPI3_parity_36__fa_rotation_cage_rattle__sev-0.6
O-FAPI3_parity_37,O-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7,O-FAPI3/O-FAPI3_parity_37,O-FAPI3/O-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7
O-FAPI3_parity_38,O-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8,O-FAPI3/O-FAPI3_parity_38,O-FAPI3/O-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8
O-FAPI3_parity_39,O-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9,O-FAPI3/O-FAPI3_parity_39,O-FAPI3/O-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9
O-FAPI3_parity_40,O-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0,O-FAPI3/O-FAPI3_parity_40,O-FAPI3/O-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0
O-FAPI3_parity_41,O-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1,O-FAPI3/O-FAPI3_parity_41,O-FAPI3/O-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1
