config_id,distortion_label,original_config_id,phase,family,severity,seed,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_parity_30__cage_rattle__sev-1.0,cage_rattle,O-FAPI3_parity_30,O-FAPI3,cage_rattle,1.0,2356252177,48,0.2,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_30__cage_rattle__sev-1.0
O-FAPI3_parity_31__fa_rotation_cage_rattle__sev-0.1,fa_rotation_cage_rattle,O-FAPI3_parity_31,O-FAPI3,fa_rotation_cage_rattle,0.1,1224571273,48,0.0425,1,1.0189468527998746,O-FAPI3/O-FAPI3_parity_31__fa_rotation_cage_rattle__sev-0.1
O-FAPI3_parity_32__fa_rotation_cage_rattle__sev-0.2,fa_rotation_cage_rattle,O-FAPI3_parity_32,O-FAPI3,fa_rotation_cage_rattle,0.2,2071077401,48,0.05,2,1.0189468527998726,O-FAPI3/O-FAPI3_parity_32__fa_rotation_cage_rattle__sev-0.2
O-FAPI3_parity_33__fa_rotation_cage_rattle__sev-0.3,fa_rotation_cage_rattle,O-FAPI3_parity_33,O-FAPI3,fa_rotation_cage_rattle,0.3,4219772410,48,0.0575,1,1.0189468527998746,O-FAPI3/O-FAPI3_parity_33__fa_rotation_cage_rattle__sev-0.3
O-FAPI3_parity_34__fa_rotation_cage_rattle__sev-0.4,fa_rotation_cage_rattle,O-FAPI3_parity_34,O-FAPI3,fa_rotation_cage_rattle,0.4,2275992225,48,0.065,2,1.0189468527998746,O-FAPI3/O-FAPI3_parity_34__fa_rotation_cage_rattle__sev-0.4
O-FAPI3_parity_35__fa_rotation_cage_rattle__sev-0.5,fa_rotation_cage_rattle,O-FAPI3_parity_35,O-FAPI3,fa_rotation_cage_rattle,0.5,345110448,48,0.07250000000000001,1,1.0189468527998746,O-FAPI3/O-FAPI3_parity_35__fa_rotation_cage_rattle__sev-0.5
O-FAPI3_parity_36__fa_rotation_cage_rattle__sev-0.6,fa_rotation_cage_rattle,O-FAPI3_parity_36,O-FAPI3,fa_rotation_cage_rattle,0.6,4065983421,48,0.08,1,1.0189468527998746,O-FAPI3/O-FAPI3_parity_36__fa_rotation_cage_rattle__sev-0.6
O-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7,fa_rotation_cage_rattle,O-FAPI3_parity_37,O-FAPI3,fa_rotation_cage_rattle,0.7,1542055207,48,0.0875,2,1.0189468527998746,O-FAPI3/O-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7
O-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8,fa_rotation_cage_rattle,O-FAPI3_parity_38,O-FAPI3,fa_rotation_cage_rattle,0.8,938300375,48,0.095,2,1.0189468527998746,O-FAPI3/O-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8
O-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9,fa_rotation_cage_rattle,O-FAPI3_parity_39,O-FAPI3,fa_rotation_cage_rattle,0.9,3972359667,48,0.10250000000000001,4,1.018946852799874,O-FAPI3/O-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9
