config_id,phase,family,distortion_label,severity,seed,seed_origin,seed_origin_config_id,minimum_distance_A,directory
O-FAPI3_al_combined_10__combined_strain_rattle_fa_rotation__sev-0.542__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.5425,4198872199,new,,0.7209619346548377,O-FAPI3/O-FAPI3_al_combined_10__combined_strain_rattle_fa_rotation__sev-0.542__seed-new
O-FAPI3_al_combined_11__combined_strain_rattle_fa_rotation__sev-0.557__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.5575,1922154077,new,,0.881148461151957,O-FAPI3/O-FAPI3_al_combined_11__combined_strain_rattle_fa_rotation__sev-0.557__seed-new
O-FAPI3_al_combined_12__combined_strain_rattle_fa_rotation__sev-0.573__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.5725,1728452832,new,,0.7157302758572414,O-FAPI3/O-FAPI3_al_combined_12__combined_strain_rattle_fa_rotation__sev-0.573__seed-new
O-FAPI3_al_combined_13__combined_strain_rattle_fa_rotation__sev-0.588__seed-parity,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.5875,502609238,parity,O-FAPI3_parity_47__combined_strain_rattle_fa_rotation__sev-0.7,0.7880990040058341,O-FAPI3/O-FAPI3_al_combined_13__combined_strain_rattle_fa_rotation__sev-0.588__seed-parity
O-FAPI3_al_combined_14__combined_strain_rattle_fa_rotation__sev-0.603__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.6025,288956641,new,,0.7695242351161835,O-FAPI3/O-FAPI3_al_combined_14__combined_strain_rattle_fa_rotation__sev-0.603__seed-new
O-FAPI3_al_combined_15__combined_strain_rattle_fa_rotation__sev-0.618__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.6175,3566607901,new,,0.6764837181913561,O-FAPI3/O-FAPI3_al_combined_15__combined_strain_rattle_fa_rotation__sev-0.618__seed-new
O-FAPI3_al_combined_16__combined_strain_rattle_fa_rotation__sev-0.632__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.6325,3156114134,new,,0.7312217207551244,O-FAPI3/O-FAPI3_al_combined_16__combined_strain_rattle_fa_rotation__sev-0.632__seed-new
O-FAPI3_al_combined_17__combined_strain_rattle_fa_rotation__sev-0.647__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.6475,516255582,new,,0.6825668066347511,O-FAPI3/O-FAPI3_al_combined_17__combined_strain_rattle_fa_rotation__sev-0.647__seed-new
O-FAPI3_al_combined_18__combined_strain_rattle_fa_rotation__sev-0.662__seed-parity,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.6625,801589023,parity,O-FAPI3_parity_49__combined_strain_rattle_fa_rotation__sev-0.9,0.8067795521538363,O-FAPI3/O-FAPI3_al_combined_18__combined_strain_rattle_fa_rotation__sev-0.662__seed-parity
O-FAPI3_al_combined_19__combined_strain_rattle_fa_rotation__sev-0.677__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.6775,3053778016,new,,0.734130029590615,O-FAPI3/O-FAPI3_al_combined_19__combined_strain_rattle_fa_rotation__sev-0.677__seed-new
